,product_code,product_description,product_group,sales_date,price,sales_quantity,unit,sales_amount
0,1001,tomato,vegetable,2021-11-01,2.99,36,kg,36.0
1,1001,tomato,vegetable,2021-11-02,2.99,23,kg,23.0
2,1001,tomato,vegetable,2021-11-03,2.99,34,kg,34.0
3,1001,tomato,vegetable,2021-11-04,2.99,23,kg,23.0
4,1001,tomato,vegetable,2021-11-05,2.99,34,kg,34.0
5,1001,tomato,vegetable,2021-11-06,2.99,20,kg,20.0
6,1001,tomato,vegetable,2021-11-07,2.99,21,kg,21.0
7,1001,tomato,vegetable,2021-11-08,2.99,20,kg,20.0
8,1001,tomato,vegetable,2021-11-09,2.99,31,kg,31.0
9,1001,tomato,vegetable,2021-11-10,2.99,34,kg,34.0
10,1001,tomato,vegetable,2021-11-11,,20,kg,20.0
11,1001,tomato,vegetable,2021-11-12,2.99,22,kg,22.0
12,1001,tomato,vegetable,2021-11-13,2.99,26,kg,26.0
13,1001,tomato,vegetable,2021-11-14,2.99,38,kg,38.0
14,1001,tomato,vegetable,2021-11-15,3.49,38,kg,38.0
15,1001,tomato,vegetable,2021-11-16,3.49,28,kg,28.0
16,1001,tomato,vegetable,2021-11-17,3.49,29,kg,29.0
17,1001,tomato,vegetable,2021-11-18,3.49,36,kg,36.0
18,1001,tomato,vegetable,2021-11-19,3.49,37,kg,37.0
19,1001,tomato,vegetable,2021-11-20,3.49,27,kg,27.0
20,1001,tomato,vegetable,2021-11-21,3.49,22,kg,22.0
21,1001,tomato,vegetable,2021-11-22,3.49,22,kg,22.0
22,1001,tomato,vegetable,2021-11-23,3.49,30,kg,30.0
23,1001,tomato,vegetable,2021-11-24,2.89,39,kg,39.0
24,1001,tomato,vegetable,2021-11-25,2.89,25,kg,25.0
25,1001,tomato,vegetable,2021-11-26,2.89,21,kg,21.0
26,1001,tomato,vegetable,2021-11-27,2.89,38,kg,38.0
27,1001,tomato,vegetable,2021-11-28,2.89,26,kg,26.0
28,1001,tomato,vegetable,2021-11-29,2.89,24,kg,24.0
29,1001,tomato,vegetable,2021-11-30,2.89,21,kg,21.0
30,1002,cucumber,vegetable,2021-11-01,4.29,22,kg,22.0
31,1002,cucumber,vegetable,2021-11-02,4.29,20,kg,20.0
32,1002,cucumber,vegetable,2021-11-03,4.29,37,kg,37.0
33,1002,cucumber,vegetable,2021-11-04,4.29,30,kg,30.0
34,1002,cucumber,vegetable,2021-11-05,,24,kg,24.0
35,1002,cucumber,vegetable,2021-11-06,4.29,36,kg,36.0
36,1002,cucumber,vegetable,2021-11-07,4.29,20,kg,20.0
37,1002,cucumber,vegetable,2021-11-08,,38,kg,38.0
38,1002,cucumber,vegetable,2021-11-09,4.49,25,kg,25.0
39,1002,cucumber,vegetable,2021-11-10,4.49,33,kg,33.0
40,1002,cucumber,vegetable,2021-11-11,4.49,24,kg,24.0
41,1002,cucumber,vegetable,2021-11-12,4.49,29,kg,29.0
42,1002,cucumber,vegetable,2021-11-13,4.49,25,kg,25.0
43,1002,cucumber,vegetable,2021-11-14,4.49,38,kg,38.0
44,1002,cucumber,vegetable,2021-11-15,4.49,28,kg,28.0
45,1002,cucumber,vegetable,2021-11-16,4.49,27,kg,27.0
46,1002,cucumber,vegetable,2021-11-17,4.49,34,kg,34.0
47,1002,cucumber,vegetable,2021-11-18,4.49,21,kg,21.0
48,1002,cucumber,vegetable,2021-11-19,4.69,32,kg,32.0
49,1002,cucumber,vegetable,2021-11-20,4.69,28,kg,28.0
50,1002,cucumber,vegetable,2021-11-21,4.69,31,kg,31.0
51,1002,cucumber,vegetable,2021-11-22,4.69,24,kg,24.0
52,1002,cucumber,vegetable,2021-11-23,4.69,32,kg,32.0
53,1002,cucumber,vegetable,2021-11-24,4.69,37,kg,37.0
54,1002,cucumber,vegetable,2021-11-25,4.69,35,kg,35.0
55,1002,cucumber,vegetable,2021-11-26,4.69,27,kg,27.0
56,1002,cucumber,vegetable,2021-11-27,4.69,37,kg,37.0
57,1002,cucumber,vegetable,2021-11-28,4.69,23,kg,23.0
58,1002,cucumber,vegetable,2021-11-29,4.69,38,kg,38.0
59,1002,cucumber,vegetable,2021-11-30,4.69,20,kg,20.0
60,1003,onion,vegetable,2021-11-01,2.29,29,kg,29.0
61,1003,onion,vegetable,2021-11-02,2.29,22,kg,22.0
62,1003,onion,vegetable,2021-11-03,2.29,33,kg,33.0
63,1003,onion,vegetable,2021-11-04,2.29,27,kg,27.0
64,1003,onion,vegetable,2021-11-05,2.29,35,kg,35.0
65,1003,onion,vegetable,2021-11-06,2.29,29,kg,29.0
66,1003,onion,vegetable,2021-11-07,2.29,38,kg,38.0
67,1003,onion,vegetable,2021-11-08,2.29,27,kg,27.0
68,1003,onion,vegetable,2021-11-09,2.29,34,kg,34.0
69,1003,onion,vegetable,2021-11-10,1.99,26,kg,26.0
70,1003,onion,vegetable,2021-11-11,1.99,23,kg,23.0
71,1003,onion,vegetable,2021-11-12,1.99,39,kg,39.0
72,1003,onion,vegetable,2021-11-13,1.99,26,kg,26.0
73,1003,onion,vegetable,2021-11-14,,39,kg,39.0
74,1003,onion,vegetable,2021-11-15,,25,kg,25.0
75,1003,onion,vegetable,2021-11-16,1.99,21,kg,21.0
76,1003,onion,vegetable,2021-11-17,1.99,38,kg,38.0
77,1003,onion,vegetable,2021-11-18,1.99,21,kg,21.0
78,1003,onion,vegetable,2021-11-19,1.99,38,kg,38.0
79,1003,onion,vegetable,2021-11-20,1.99,30,kg,30.0
80,1003,onion,vegetable,2021-11-21,1.99,28,kg,28.0
81,1003,onion,vegetable,2021-11-22,1.99,25,kg,25.0
82,1003,onion,vegetable,2021-11-23,1.99,23,kg,23.0
83,1003,onion,vegetable,2021-11-24,1.99,23,kg,23.0
84,1003,onion,vegetable,2021-11-25,2.29,24,kg,24.0
85,1003,onion,vegetable,2021-11-26,2.29,28,kg,28.0
86,1003,onion,vegetable,2021-11-27,2.29,25,kg,25.0
87,1003,onion,vegetable,2021-11-28,2.29,38,kg,38.0
88,1003,onion,vegetable,2021-11-29,2.29,21,kg,21.0
89,1003,onion,vegetable,2021-11-30,2.29,27,kg,27.0
90,1101,plum,fruit,2021-11-01,4.5,27,kg,27.0
91,1101,plum,fruit,2021-11-02,4.5,33,kg,33.0
92,1101,plum,fruit,2021-11-03,4.5,37,kg,37.0
93,1101,plum,fruit,2021-11-04,4.5,33,kg,33.0
94,1101,plum,fruit,2021-11-05,4.5,30,kg,30.0
95,1101,plum,fruit,2021-11-06,4.5,22,kg,22.0
96,1101,plum,fruit,2021-11-07,4.5,38,kg,38.0
97,1101,plum,fruit,2021-11-08,4.5,22,kg,22.0
98,1101,plum,fruit,2021-11-09,4.5,22,kg,22.0
99,1101,plum,fruit,2021-11-10,,36,kg,36.0
100,1101,plum,fruit,2021-11-11,4.5,34,kg,34.0
101,1101,plum,fruit,2021-11-12,4.5,32,kg,32.0
102,1101,plum,fruit,2021-11-13,4.5,36,kg,36.0
103,1101,plum,fruit,2021-11-14,4.5,32,kg,32.0
104,1101,plum,fruit,2021-11-15,4.7,24,kg,24.0
105,1101,plum,fruit,2021-11-16,4.7,34,kg,34.0
106,1101,plum,fruit,2021-11-17,4.7,22,kg,22.0
107,1101,plum,fruit,2021-11-18,4.7,39,kg,39.0
108,1101,plum,fruit,2021-11-19,4.7,31,kg,31.0
109,1101,plum,fruit,2021-11-20,4.7,21,kg,21.0
110,1101,plum,fruit,2021-11-21,4.7,22,kg,22.0
111,1101,plum,fruit,2021-11-22,4.7,31,kg,31.0
112,1101,plum,fruit,2021-11-23,3.9,32,kg,32.0
113,1101,plum,fruit,2021-11-24,3.9,29,kg,29.0
114,1101,plum,fruit,2021-11-25,3.9,24,kg,24.0
115,1101,plum,fruit,2021-11-26,3.9,34,kg,34.0
116,1101,plum,fruit,2021-11-27,3.9,24,kg,24.0
117,1101,plum,fruit,2021-11-28,3.9,21,kg,21.0
118,1101,plum,fruit,2021-11-29,3.9,32,kg,32.0
119,1101,plum,fruit,2021-11-30,3.9,29,kg,29.0
120,1102,orange,fruit,2021-11-01,2.6,37,kg,37.0
121,1102,orange,fruit,2021-11-02,2.6,21,kg,21.0
122,1102,orange,fruit,2021-11-03,2.6,35,kg,35.0
123,1102,orange,fruit,2021-11-04,2.6,37,kg,37.0
124,1102,orange,fruit,2021-11-05,2.6,36,kg,36.0
125,1102,orange,fruit,2021-11-06,2.6,37,kg,37.0
126,1102,orange,fruit,2021-11-07,2.6,29,kg,29.0
127,1102,orange,fruit,2021-11-08,,28,kg,28.0
128,1102,orange,fruit,2021-11-09,2.6,31,kg,31.0
129,1102,orange,fruit,2021-11-10,2.6,39,kg,39.0
130,1102,orange,fruit,2021-11-11,2.6,32,kg,32.0
131,1102,orange,fruit,2021-11-12,2.6,30,kg,30.0
132,1102,orange,fruit,2021-11-13,2.6,26,kg,26.0
133,1102,orange,fruit,2021-11-14,2.9,28,kg,28.0
134,1102,orange,fruit,2021-11-15,2.9,23,kg,23.0
135,1102,orange,fruit,2021-11-16,2.9,28,kg,28.0
136,1102,orange,fruit,2021-11-17,2.9,29,kg,29.0
137,1102,orange,fruit,2021-11-18,2.9,29,kg,29.0
138,1102,orange,fruit,2021-11-19,2.9,26,kg,26.0
139,1102,orange,fruit,2021-11-20,2.9,34,kg,34.0
140,1102,orange,fruit,2021-11-21,2.9,28,kg,28.0
141,1102,orange,fruit,2021-11-22,,38,kg,38.0
142,1102,orange,fruit,2021-11-23,2.7,30,kg,30.0
143,1102,orange,fruit,2021-11-24,2.7,34,kg,34.0
144,1102,orange,fruit,2021-11-25,2.7,29,kg,29.0
145,1102,orange,fruit,2021-11-26,2.7,25,kg,25.0
146,1102,orange,fruit,2021-11-27,2.7,28,kg,28.0
147,1102,orange,fruit,2021-11-28,2.7,27,kg,27.0
148,1102,orange,fruit,2021-11-29,2.7,21,kg,21.0
149,1102,orange,fruit,2021-11-30,2.7,33,kg,33.0
150,1103,apple,fruit,2021-11-01,1.9,31,kg,31.0
151,1103,apple,fruit,2021-11-02,1.9,29,kg,29.0
152,1103,apple,fruit,2021-11-03,1.9,31,kg,31.0
153,1103,apple,fruit,2021-11-04,1.9,31,kg,31.0
154,1103,apple,fruit,2021-11-05,,28,kg,28.0
155,1103,apple,fruit,2021-11-06,1.9,39,kg,39.0
156,1103,apple,fruit,2021-11-07,1.9,39,kg,39.0
157,1103,apple,fruit,2021-11-08,1.9,22,kg,22.0
158,1103,apple,fruit,2021-11-09,1.9,35,kg,35.0
159,1103,apple,fruit,2021-11-10,1.9,31,kg,31.0
160,1103,apple,fruit,2021-11-11,,21,kg,21.0
161,1103,apple,fruit,2021-11-12,1.9,30,kg,30.0
162,1103,apple,fruit,2021-11-13,1.9,20,kg,20.0
163,1103,apple,fruit,2021-11-14,2.2,31,kg,31.0
164,1103,apple,fruit,2021-11-15,2.2,23,kg,23.0
165,1103,apple,fruit,2021-11-16,2.2,24,kg,24.0
166,1103,apple,fruit,2021-11-17,2.2,21,kg,21.0
167,1103,apple,fruit,2021-11-18,2.2,28,kg,28.0
168,1103,apple,fruit,2021-11-19,2.2,24,kg,24.0
169,1103,apple,fruit,2021-11-20,2.2,34,kg,34.0
170,1103,apple,fruit,2021-11-21,2.2,35,kg,35.0
171,1103,apple,fruit,2021-11-22,2.2,35,kg,35.0
172,1103,apple,fruit,2021-11-23,2.2,36,kg,36.0
173,1103,apple,fruit,2021-11-24,2.2,20,kg,20.0
174,1103,apple,fruit,2021-11-25,2.2,28,kg,28.0
175,1103,apple,fruit,2021-11-26,2.2,24,kg,24.0
176,1103,apple,fruit,2021-11-27,,29,kg,29.0
177,1103,apple,fruit,2021-11-28,2.2,37,kg,37.0
178,1103,apple,fruit,2021-11-29,2.2,33,kg,33.0
179,1103,apple,fruit,2021-11-30,2.2,29,kg,29.0
180,1104,grape,fruit,2021-11-01,4.4,29,kg,29.0
181,1104,grape,fruit,2021-11-02,4.4,25,kg,25.0
182,1104,grape,fruit,2021-11-03,4.4,24,kg,24.0
183,1104,grape,fruit,2021-11-04,4.4,38,kg,38.0
184,1104,grape,fruit,2021-11-05,4.4,28,kg,28.0
185,1104,grape,fruit,2021-11-06,4.4,25,kg,25.0
186,1104,grape,fruit,2021-11-07,4.4,37,kg,37.0
187,1104,grape,fruit,2021-11-08,4.4,21,kg,21.0
188,1104,grape,fruit,2021-11-09,4.4,35,kg,35.0
189,1104,grape,fruit,2021-11-10,4.4,24,kg,24.0
190,1104,grape,fruit,2021-11-11,4.4,29,kg,29.0
191,1104,grape,fruit,2021-11-12,4.4,24,kg,24.0
192,1104,grape,fruit,2021-11-13,4.4,37,kg,37.0
193,1104,grape,fruit,2021-11-14,4.4,31,kg,31.0
194,1104,grape,fruit,2021-11-15,4.4,32,kg,32.0
195,1104,grape,fruit,2021-11-16,4.4,38,kg,38.0
196,1104,grape,fruit,2021-11-17,4.4,34,kg,34.0
197,1104,grape,fruit,2021-11-18,4.4,36,kg,36.0
198,1104,grape,fruit,2021-11-19,4.4,24,kg,24.0
199,1104,grape,fruit,2021-11-20,4.4,21,kg,21.0
200,1104,grape,fruit,2021-11-21,4.4,28,kg,28.0
201,1104,grape,fruit,2021-11-22,4.4,36,kg,36.0
202,1104,grape,fruit,2021-11-23,4.4,20,kg,20.0
203,1104,grape,fruit,2021-11-24,4.4,26,kg,26.0
204,1104,grape,fruit,2021-11-25,4.4,34,kg,34.0
205,1104,grape,fruit,2021-11-26,4.4,29,kg,29.0
206,1104,grape,fruit,2021-11-27,4.4,26,kg,26.0
207,1104,grape,fruit,2021-11-28,4.4,27,kg,27.0
208,1104,grape,fruit,2021-11-29,4.4,39,kg,39.0
209,1104,grape,fruit,2021-11-30,4.4,32,kg,32.0
210,1201,milk-1.5,dairy,2021-11-01,5.9,32,pcs,48.0
211,1201,milk-1.5,dairy,2021-11-02,5.9,39,pcs,58.5
212,1201,milk-1.5,dairy,2021-11-03,5.9,34,pcs,51.0
213,1201,milk-1.5,dairy,2021-11-04,5.9,31,pcs,46.5
214,1201,milk-1.5,dairy,2021-11-05,5.9,36,pcs,54.0
215,1201,milk-1.5,dairy,2021-11-06,5.9,36,pcs,54.0
216,1201,milk-1.5,dairy,2021-11-07,5.9,39,pcs,58.5
217,1201,milk-1.5,dairy,2021-11-08,5.9,30,pcs,45.0
218,1201,milk-1.5,dairy,2021-11-09,5.9,25,pcs,37.5
219,1201,milk-1.5,dairy,2021-11-10,5.9,24,pcs,36.0
220,1201,milk-1.5,dairy,2021-11-11,5.9,27,pcs,40.5
221,1201,milk-1.5,dairy,2021-11-12,5.9,29,pcs,43.5
222,1201,milk-1.5,dairy,2021-11-13,5.9,24,pcs,36.0
223,1201,milk-1.5,dairy,2021-11-14,5.9,36,pcs,54.0
224,1201,milk-1.5,dairy,2021-11-15,,24,pcs,36.0
225,1201,milk-1.5,dairy,2021-11-16,5.9,29,pcs,43.5
226,1201,milk-1.5,dairy,2021-11-17,5.9,35,pcs,52.5
227,1201,milk-1.5,dairy,2021-11-18,5.9,21,pcs,31.5
228,1201,milk-1.5,dairy,2021-11-19,5.9,29,pcs,43.5
229,1201,milk-1.5,dairy,2021-11-20,6.4,22,pcs,33.0
230,1201,milk-1.5,dairy,2021-11-21,,24,pcs,36.0
231,1201,milk-1.5,dairy,2021-11-22,6.4,20,pcs,30.0
232,1201,milk-1.5,dairy,2021-11-23,6.4,36,pcs,54.0
233,1201,milk-1.5,dairy,2021-11-24,6.4,35,pcs,52.5
234,1201,milk-1.5,dairy,2021-11-25,6.4,37,pcs,55.5
235,1201,milk-1.5,dairy,2021-11-26,6.4,39,pcs,58.5
236,1201,milk-1.5,dairy,2021-11-27,6.4,38,pcs,57.0
237,1201,milk-1.5,dairy,2021-11-28,6.4,37,pcs,55.5
238,1201,milk-1.5,dairy,2021-11-29,6.4,37,pcs,55.5
239,1201,milk-1.5,dairy,2021-11-30,6.4,25,pcs,37.5
240,1202,yogurt-1,dairy,2021-11-01,6.9,26,pcs,26.0
241,1202,yogurt-1,dairy,2021-11-02,6.9,36,pcs,36.0
242,1202,yogurt-1,dairy,2021-11-03,6.9,30,pcs,30.0
243,1202,yogurt-1,dairy,2021-11-04,6.9,29,pcs,29.0
244,1202,yogurt-1,dairy,2021-11-05,6.9,20,pcs,20.0
245,1202,yogurt-1,dairy,2021-11-06,6.9,21,pcs,21.0
246,1202,yogurt-1,dairy,2021-11-07,6.9,34,pcs,34.0
247,1202,yogurt-1,dairy,2021-11-08,6.9,25,pcs,25.0
248,1202,yogurt-1,dairy,2021-11-09,6.9,38,pcs,38.0
249,1202,yogurt-1,dairy,2021-11-10,6.9,38,pcs,38.0
250,1202,yogurt-1,dairy,2021-11-11,6.9,31,pcs,31.0
251,1202,yogurt-1,dairy,2021-11-12,6.9,26,pcs,26.0
252,1202,yogurt-1,dairy,2021-11-13,6.9,32,pcs,32.0
253,1202,yogurt-1,dairy,2021-11-14,6.9,22,pcs,22.0
254,1202,yogurt-1,dairy,2021-11-15,6.9,32,pcs,32.0
255,1202,yogurt-1,dairy,2021-11-16,6.9,37,pcs,37.0
256,1202,yogurt-1,dairy,2021-11-17,6.9,39,pcs,39.0
257,1202,yogurt-1,dairy,2021-11-18,5.9,21,pcs,21.0
258,1202,yogurt-1,dairy,2021-11-19,5.9,38,pcs,38.0
259,1202,yogurt-1,dairy,2021-11-20,5.9,20,pcs,20.0
260,1202,yogurt-1,dairy,2021-11-21,5.9,28,pcs,28.0
261,1202,yogurt-1,dairy,2021-11-22,5.9,26,pcs,26.0
262,1202,yogurt-1,dairy,2021-11-23,5.9,39,pcs,39.0
263,1202,yogurt-1,dairy,2021-11-24,,29,pcs,29.0
264,1202,yogurt-1,dairy,2021-11-25,6.9,24,pcs,24.0
265,1202,yogurt-1,dairy,2021-11-26,6.9,28,pcs,28.0
266,1202,yogurt-1,dairy,2021-11-27,6.9,23,pcs,23.0
267,1202,yogurt-1,dairy,2021-11-28,6.9,22,pcs,22.0
268,1202,yogurt-1,dairy,2021-11-29,6.9,31,pcs,31.0
269,1202,yogurt-1,dairy,2021-11-30,6.9,37,pcs,37.0
270,1203,butter-0.25,dairy,2021-11-01,11.9,22,pcs,5.5
271,1203,butter-0.25,dairy,2021-11-02,11.9,34,pcs,8.5
272,1203,butter-0.25,dairy,2021-11-03,11.9,26,pcs,6.5
273,1203,butter-0.25,dairy,2021-11-04,11.9,39,pcs,9.75
274,1203,butter-0.25,dairy,2021-11-05,11.9,27,pcs,6.75
275,1203,butter-0.25,dairy,2021-11-06,11.9,26,pcs,6.5
276,1203,butter-0.25,dairy,2021-11-07,10.9,33,pcs,8.25
277,1203,butter-0.25,dairy,2021-11-08,10.9,23,pcs,5.75
278,1203,butter-0.25,dairy,2021-11-09,10.9,22,pcs,5.5
279,1203,butter-0.25,dairy,2021-11-10,,34,pcs,8.5
280,1203,butter-0.25,dairy,2021-11-11,10.9,21,pcs,5.25
281,1203,butter-0.25,dairy,2021-11-12,10.9,23,pcs,5.75
282,1203,butter-0.25,dairy,2021-11-13,10.9,20,pcs,5.0
283,1203,butter-0.25,dairy,2021-11-14,10.9,27,pcs,6.75
284,1203,butter-0.25,dairy,2021-11-15,10.9,33,pcs,8.25
285,1203,butter-0.25,dairy,2021-11-16,,32,pcs,8.0
286,1203,butter-0.25,dairy,2021-11-17,10.9,22,pcs,5.5
287,1203,butter-0.25,dairy,2021-11-18,10.9,29,pcs,7.25
288,1203,butter-0.25,dairy,2021-11-19,10.9,36,pcs,9.0
289,1203,butter-0.25,dairy,2021-11-20,10.9,21,pcs,5.25
290,1203,butter-0.25,dairy,2021-11-21,10.9,25,pcs,6.25
291,1203,butter-0.25,dairy,2021-11-22,10.9,25,pcs,6.25
292,1203,butter-0.25,dairy,2021-11-23,11.9,20,pcs,5.0
293,1203,butter-0.25,dairy,2021-11-24,11.9,26,pcs,6.5
294,1203,butter-0.25,dairy,2021-11-25,11.9,31,pcs,7.75
295,1203,butter-0.25,dairy,2021-11-26,11.9,31,pcs,7.75
296,1203,butter-0.25,dairy,2021-11-27,11.9,29,pcs,7.25
297,1203,butter-0.25,dairy,2021-11-28,11.9,37,pcs,9.25
298,1203,butter-0.25,dairy,2021-11-29,11.9,34,pcs,8.5
299,1203,butter-0.25,dairy,2021-11-30,11.9,36,pcs,9.0
